S. No.,Zone,Phase,Cycle,UPC,Unnamed: 5,Survey_UPC,Project Name,Start Chainage,End Chainage,Start Lat,Start Long,End Lat,End Long
361,B,Phase 1,Cycle 1,N_08027_02003_RJ,N/08027/02003/RJ,N_08027_02004_RJ,Reconstruction & Rehabilitation with Cement Concrete Pavement and Incident Works of Deoli – Kota Section of NH – 12 (New NH – 52) from Talabgaon to Junction of NH – 76 (New NH -27) on Kota Bypass (Design Km 205.724 to Km 250.144) in the state of Rajasthan (Package – 2) ,205724,250144,25.461159564,75.5879243985,25.1556640508333,75.76519909
362,B,Phase 1,Cycle 1,"
N_02018_03001_RJ","
N/02018/03001/RJ",,Kota - Baran section of NH-27 from km. 1080.263 to km. 1184.322,1080263,1184313,25.182630408,75.9337738636667,25.1149118716667,76.8458991693333
363,B,Phase 1,Cycle 1,N_02018_02001_RJ        ,N/02018/02001/RJ        ,,Kota bypass on NH-76 Contract Package (RJ-4),1052429,1080249,25.1493508183333,75.750226395,25.1826312235,75.9335678956667
364,B,Phase 1,Cycle 1,N_02001_05001_RJ,N/02001/05001/RJ,,Kishangarh (km 0.000) to Gulabpura (km 90.000) of NH-79A and NH-79 in Rajasthan,0,90000,26.5825865851667,74.9034618603333,25.8544690116667,74.6175997878333
365,B,Phase 1,Cycle 1,N_02001_07001_RJ,N/02001/07001/RJ,,Chittorgarh-Udaipur Section of NH76,214800,308370,24.8335776191667,74.569292998,24.5990416978333,73.7877318416667
366,B,Phase 1,Cycle 1,N_02017_03001_RJ,N/02017/03001/RJ,,Swaroopganj - Pindwara Section from km. 264.00 to km. 248.70 of NH-14 & Pindwara - Udaipur from km. 0.00 to km. 104.724 of NH-76,0,264000,24.7785143101667,73.0294701403333,24.6782999041667,72.9376270693333
367,B,Phase 1,Cycle 1,"N_02017_04002_RJ
N_02017_04003_GJ","N/02017/04002/RJ
N/02017/04003/GJ",N_02017_04001_GJ,Palanpur/ Khemana - Abu Road - Swaroopganj from km. 340.00 to km. 264.00,601000,677010,24.2297633581667,72.454488661,24.6794331611667,72.9378667603333
368,B,Phase 1,Cycle 1,N_02016_01009_GJ,N/02016/01009/GJ,,"Tolling, Operation, Maintenance & Transfer of Palanpur-Radhanpur- Samakhiyali section of NH-27 from Km. 536+000 to Km. 430+100 in the state of Gujarat (TOT Bundle 5A2)",430100,536000,23.7442236473333,71.1395311818333,24.1320795161667,71.9629244998333
369,B,Phase 1,Cycle 1,N_02016_01010_GJ,N/02016/01010/GJ,N_02016_01002_GJ,"Tolling, Operation, Maintenance & Transfer of Palanpur-Radhanpur- Samakhiyali section of NH-27 from Km. 589+600 to Km. 536+000 (TOT Bundle 5A1)",565850,569600,24.2714516401667,72.1806545023333,24.245750138,72.2034747995
370,B,Phase 1,Cycle 1,N_02016_01012_GJ,N/02016/01012/GJ,N_02016_02003_GJ,Improvement of Samakhiyali- Santalpur section of Nh-27 (from Km.339.700 to Km.430.100 and Km 589.600 toKm. 601.000) in the sate of Gujarat,589600,601000,24.1873914678333,72.3873985285,24.2302902433333,72.4548501481667
371,B,Phase 1,Cycle 1,N_04006_01001_GJ,N/04006/01001/GJ,,Samakhiyali to Gandhidham section km 306.0 to km 362.160 of NH-8A,306000,363000,23.30677051,70.5197451741667,23.0361746745,70.1436778421667
372,B,Phase 1,Cycle 1,N_02015_03002_GJ,N/02015/03002/GJ,N_02015_03001_GJ,Garamore - Samakhiyali section from km 254.54 - km 306.00,254500,306040,22.9801353716667,70.8198956386667,23.3068869223333,70.519708699
373,B,Phase 1,Cycle 1,N_02015_02003_GJ,N/02015/02003/GJ,N_02015_02001_GJ,Bamanbore - Garamore from 182.6 km. to 254.54 km. under TOT Bundle - 1,182600,254440,22.4261930523333,71.0828020958333,22.9806018143333,70.8198729075
374,B,Phase 1,Cycle 1,N_08009_01001_GJ,N/08009/01001/GJ,,"Porbandar-Dwarka (Package VIII) from km. 379.100 to km. 496.84
",379100,496840,21.5593187938333,69.6848042835,22.2436323503333,68.9707315983333
375,B,Phase 1,Cycle 1,N_04003_11005_RJ,N/04003/11005/RJ,,Rasisar (near Bikaner)-Deogarh (near Dhandhaniya) (Phase-I) (AJ/RD- Package-4),90000,120000,27.0428536546667,72.9474769076667,26.79527314,72.8260306825
